signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
"notify_agreement_confirm(p_agreement_id text, p_recipient_user_id text)",void,false,true,true,true,true,true,false,false,false,,,LOW
notify_ended_polls(),integer,false,false,true,false,false,true,false,false,true,,,LOW
notify_on_agreement(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_appointment_created(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_appointment_status(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_chat_message(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_comment_mention(),trigger,false,false,true,true,false,true,false,true,false,,,LOW
notify_on_comment_reaction(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_nearby_alert(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_post_comment(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_post_like(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_post_recommendation(),trigger,false,true,true,false,true,true,false,true,false,,,LOW
notify_on_post_resolved(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_proposal(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_proposal_broadcast(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_qna_answered(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_qna_asked(),trigger,false,true,true,false,true,true,false,true,false,,,LOW
notify_on_queue_called(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_queue_payment_status(),trigger,false,true,true,false,true,true,false,true,false,,,LOW
notify_on_rating(),trigger,false,true,true,false,true,true,false,true,false,,,LOW
notify_on_report_resolved(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_on_request(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_on_story_reaction(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_saved_search_matches_business(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_saved_search_matches_provider(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
notify_verification_decision_business(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
notify_verification_decision_provider(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
on_queue_token_update(),trigger,false,false,true,false,true,true,false,true,false,,,LOW
"proposal_submit_counter(p_proposal_id text, p_amount numeric, p_message text)",proposal_counters,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
protect_business_owner(),trigger,false,false,true,true,true,false,false,true,false,,,LOW
push_on_notification_insert(),trigger,false,false,true,false,false,false,false,true,false,,supabase/functions/send-push/index.ts,LOW
qna_to_lead(),trigger,false,false,true,false,false,true,false,true,false,,,LOW
